id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_usaha,jumlah_umkm,satuan,tahun
71,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AGRIBISNIS,10172,UNIT,2016
952,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AKSESORIS,22699,UNIT,2019
555,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,MAKANAN,41235,UNIT,2018
1598,32,JAWA BARAT,3277,KOTA CIMAHI,JASA,7245,UNIT,2021
1604,32,JAWA BARAT,3278,KOTA TASIKMALAYA,INDUSTRI,34059,UNIT,2021
22,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AKSESORIS,14078,UNIT,2016
881,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,AGRIBISNIS,10139,UNIT,2019
2109,32,JAWA BARAT,3274,KOTA CIREBON,KULINER,11747,UNIT,2023
1586,32,JAWA BARAT,3276,KOTA DEPOK,MINUMAN,45234,UNIT,2021
352,32,JAWA BARAT,3209,KABUPATEN CIREBON,AKSESORIS,22273,UNIT,2017
195,32,JAWA BARAT,3272,KOTA SUKABUMI,MAKANAN,5452,UNIT,2016
1664,32,JAWA BARAT,3205,KABUPATEN GARUT,INDUSTRI,173534,UNIT,2022
1216,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MINUMAN,13919,UNIT,2020
411,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AGRIBISNIS,32236,UNIT,2017
798,32,JAWA BARAT,3278,KOTA TASIKMALAYA,JASA,12455,UNIT,2018
1927,32,JAWA BARAT,3204,KABUPATEN BANDUNG,KERAJINAN,71366,UNIT,2023
828,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,JASA,30645,UNIT,2019
827,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,KERAJINAN,37669,UNIT,2019
2043,32,JAWA BARAT,3216,KABUPATEN BEKASI,FASHION,68250,UNIT,2023
1895,32,JAWA BARAT,3201,KABUPATEN BOGOR,MAKANAN,107439,UNIT,2023
650,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,OBAT-OBATAN,6420,UNIT,2018
1600,32,JAWA BARAT,3277,KOTA CIMAHI,OBAT-OBATAN,4155,UNIT,2021
1855,32,JAWA BARAT,3276,KOTA DEPOK,MAKANAN,64117,UNIT,2022
1666,32,JAWA BARAT,3205,KABUPATEN GARUT,MINUMAN,65556,UNIT,2022
990,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,OBAT-OBATAN,3529,UNIT,2019
750,32,JAWA BARAT,3273,KOTA BANDUNG,OBAT-OBATAN,21595,UNIT,2018
2100,32,JAWA BARAT,3273,KOTA BANDUNG,OBAT-OBATAN,37337,UNIT,2023
1975,32,JAWA BARAT,3209,KABUPATEN CIREBON,MAKANAN,115724,UNIT,2023
2074,32,JAWA BARAT,3271,KOTA BOGOR,INDUSTRI,33006,UNIT,2023
770,32,JAWA BARAT,3275,KOTA BEKASI,OBAT-OBATAN,8943,UNIT,2018
362,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,AKSESORIS,14885,UNIT,2017
88,32,JAWA BARAT,3209,KABUPATEN CIREBON,JASA,28612,UNIT,2016
703,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,FASHION,22967,UNIT,2018
1399,32,JAWA BARAT,3205,KABUPATEN GARUT,KULINER,71483,UNIT,2021
1956,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MINUMAN,45250,UNIT,2023
197,32,JAWA BARAT,3272,KOTA SUKABUMI,KERAJINAN,4299,UNIT,2016
102,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,AKSESORIS,9801,UNIT,2016
957,32,JAWA BARAT,3215,KABUPATEN KARAWANG,KERAJINAN,34758,UNIT,2019
1541,32,JAWA BARAT,3272,KOTA SUKABUMI,AGRIBISNIS,5877,UNIT,2021
